Key number,Scientific name[5],Frequency (Hz) (Equal temperament) [6],Corresponding open strings,,,,,,Notes
,,,Violin,Viola,Cello,Bass,Guitar,,"https://en.wikipedia.org/wiki/Piano_key_frequencies#:~:text=Since%20every%20octave%20is%20made,of%20two%20(approximately%201.059463)."
108,B8,7902.133,,,,,,,"This is a list of the fundamental frequencies in hertz (cycles per second) of the keys of a modern 88-key standard or 108-key extended piano in twelve-tone equal temperament, with the 49th key, the fifth A (called A4), tuned to 440 Hz (referred to as A440).[1][2] Since every octave is made of twelve steps and equals two times the frequency (for example, the fifth A is 440 Hz and the higher octave A is 880 Hz), each successive pitch is derived by multiplying (ascending) or dividing (descending) the previous by the twelfth root of two (approximately 1.059463).[1][2] For example, to get the frequency a semitone up from A4 (A♯4), multiply 440 by the twelfth root of two. To go from A4 to B4 (up a whole tone, or two semitones), multiply 440 twice by the twelfth root of two (or just by the sixth root of two, approximately 1.122462). To go from A4 to C5 (which is a minor third), multiply 440 three times by the twelfth root of two, (or just by the fourth root of two, approximately 1.189207). For other tuning schemes refer to musical tuning."
107,A♯8/B♭8,7458.62,,,,,,,
106,A8,7040,,,,,,,"This list of frequencies is for a theoretically ideal piano. On an actual piano the ratio between semitones is slightly larger, especially at the high and low ends, where string stiffness causes inharmonicity, i.e., the tendency for the harmonic makeup of each note to run sharp. To compensate for this, octaves are tuned slightly wide, stretched according to the inharmonic characteristics of each instrument.[3] This deviation from equal temperament is called the Railsback curve."
105,G♯8/A♭8,6644.875,,,,,,,
104,G8,6271.927,,,,,,,"The following equation gives the frequency f of the nth key, as shown in the table:[1]"
103,F♯8/G♭8,5919.911,,,,,,,
102,F8,5587.652,,,,,,,
101,E8,5274.041,,,,,,,
100,D♯8/E♭8,4978.032,,,,,,,(a' = A4 = A440 is the 49th key on the idealized standard piano)
99,D8,4698.636,,,,,,,
98,C♯8/D♭8,4434.922,,,,,,,"Alternatively, this can be written as:"
88,C8 Eighth octave,4186.009,,,,,,,
87,B7,3951.066,,,,,,,
